sampleid,target,prediction
1197657-0,1,1
584733-0,1,1
1816212-0,1,1
609139-0,1,1
1247942-0,1,1
655443-0,1,1
2132469-0,1,1
1843568-0,1,1
387626-0,1,1
300662-0,1,1
351032-0,1,1
2242119-0,1,1
2173507-0,1,1
832108-0,1,1
1768837-0,1,1
216706-0,1,1
1321078-0,1,1
2035744-0,1,1
60628-0,1,1
2249204-0,1,1
1644409-0,1,1
1338386-0,1,1
1649353-0,1,1
1153734-0,1,1
1311605-0,1,1
1703835-0,1,1
1472590-0,1,1
346567-0,1,1
16578-0,1,1
1543878-0,1,1
815952-0,1,1
1342267-0,1,1
2209992-0,1,1
733319-0,1,1
2250707-0,1,1
563452-0,1,1
1510064-0,1,1
790163-0,1,1
945091-0,1,1
337669-0,1,1
695230-0,1,1
1313975-0,1,1
883976-0,1,1
1617536-0,1,1
47328-0,1,1
1193434-0,1,1
1206191-0,1,1
1791185-0,1,1
761673-0,1,1
1513042-0,1,1
1982519-0,1,1
1717326-0,1,1
898044-0,1,1
123538-0,1,1
2103097-0,1,1
1812243-0,1,1
777021-0,1,1
461255-0,1,1
629536-0,1,1
1945153-0,1,1
259247-0,1,1
1928052-0,1,1
1561044-0,1,1
1987678-0,1,1
371781-0,1,1
638170-0,1,1
6676-0,1,1
314029-0,1,1
647205-0,1,1
430946-0,1,1
1508936-0,1,1
450238-0,1,1
530168-0,1,1
1753446-0,1,1
848182-0,1,1
2115511-0,1,1
854117-0,1,1
2007590-0,1,1
156975-0,1,1
1461495-0,1,1
1268397-0,1,1
144909-0,1,1
516907-0,1,1
1432447-0,1,1
1712666-0,1,1
1995845-0,1,1
758208-0,1,1
1052949-0,1,1
1490500-0,1,1
2144829-0,1,1
1723457-0,1,1
1940674-0,1,1
1029506-0,1,1
1103325-0,1,1
1910786-0,1,1
704675-0,1,1
682551-0,1,1
1736758-0,1,1
770695-0,1,1
1110983-0,1,1
1927910-0,1,1
351566-0,1,1
1644557-0,1,1
529737-0,1,1
733257-0,1,1
53471-0,1,1
1589385-0,1,1
1671482-0,1,1
1435882-0,1,1
2172699-0,1,1
1366514-0,1,1
1468056-0,1,1
740294-0,1,1
10494-0,1,1
2082092-0,1,1
1346106-0,1,1
1330132-0,1,1
935851-0,1,1
1161542-0,1,1
157434-0,1,1
840992-0,1,1
2167038-0,1,1
223191-0,1,1
1185011-0,1,1
1567738-0,1,1
879895-0,1,1
1396745-0,1,1
2171473-0,1,1
1676405-0,1,1
360296-0,1,1
1920953-0,1,1
1900484-0,1,1
2240397-0,1,1
856631-0,1,1
1276271-0,1,1
1173205-0,1,1
418990-0,1,1
1315167-0,1,1
271849-0,1,1
832439-0,1,1
1127370-0,1,1
532288-0,1,1
55375-0,1,1
1315759-0,1,1
1168630-0,1,1
1695197-0,1,1
1776490-0,1,1
460145-0,1,1
289639-0,1,1
749884-0,1,1
1272938-0,1,1
1002214-0,1,1
1576844-0,1,1
1648736-0,1,1
389837-0,1,1
1262146-0,1,1
887632-0,1,1
1102642-0,1,1
1205296-0,1,1
2011120-0,1,1
85772-0,1,1
1483922-0,1,1
716938-0,1,1
1886881-0,1,1
873813-0,1,1
1093033-0,1,1
51340-0,1,1
718298-0,1,1
1423117-0,1,1
994715-0,1,1
1949874-0,1,1
1845009-0,1,1
